CCR,response,actual,Prediction
"Following the logic of my previous comment, this could be:
```suggestion
        if [[ -z ""$DIFFVIEW"" ]]
```",This is also done like this because of potential `set -u`,0,0
"Is it necessary that the sender is paused while the parameters are changed? If it is so, it would have to be said in the documentation. Otherwise, I would remove the pause here and in the other calls where a gateway sender parameter is changed.","We pause gw sender to prevent any interference with running processes. This was one of comments on RFC. And I am not sure that internal handling in command execution is documented for users. But if everyone agrees that this is needed, I can add.",1,1
I think we don't need a `TestBase` class if there is only one class extending it.,Forgot to add `RowTypeValidationTest` in previous diff actually,0,1
"Camel can do this automatic in the setProperties(configuration, parameters) you do further below. If you want to set default values then set them on the configuration class instead",Done,0,0
Let's revert to master whole file,Reverted.,0,0
is this method `const`? should it look like `const`?,"No, because it perform insert in map ? ",1,1
I'd prefer that this method be on an internal class (like the ManagementHelper class you removed) instead of exposing it to users on the external api.,I don't see the harm of exposing it to users. I really don't like the general purpose XXXHelper class to hold these methods. It makes it hard to find where it is,1,1
It seems you forgot this one.,"The same to other javadoc,the empty line?",0,1
Please use consistent and uniform formatting.,"@sebastian-nagel I did not understand, the formatting looks good to me. Can you please elaborate on what I am missing here? Thanks. ",1,0
We should use the async api in the tests. All the tests should be coroutine functions.,Replaced by await hass.servicies.async_call(...),0,0
Why not give aggregates value of `{}` property level?,This is a prettify of older code that I didn't write.  Are you thinking it needs to be refactored?,1,1
Can it be replaced by `MiniClusterExtension`?,"For `HAQueryableStateFsBackendITCase` and `HAQueryableStateRocksDBBackendITCase`, the initialization of `MiniClusterExtension` rely on `@Tempdir`, which will cause NPE,  I don't know how to initialize `@Tempdir` before `@RegisterExtension`,  do you have any suggestion?",1,1
"Ideally, the name and Javadoc would clarify that this is _not_ a user-visible transform. Instead, it is a suggested implementation for a `ParDo.of(SplittableDoFn)`.
","Done.
",0,1
"I think we should not hard code const keys in the code but hoist them using for example
```go
const (
    grpcTimeoutKey = ""GRPC_TIMEOUT""
)
```",Filed a task to do this: https://github.com/apache/beam/issues/25202. This change seems to be outside of the scope of this PR.,0,1
"Why is this needed, shouldn't the function only be called for VariableDeclarations?","Well, technically yes but this is not how the parser uses it. `walkVariableDeclaration` is also called with `ForStatement#init` or `For*Statement#left` which also accepts identifiers or destructured patterns.",0,1
"for my understanding, why `ObjectHelper.notNull` has been removed ?",done,0,1
Why is touch required? Is this a dummy file for caching?,"We need an output for caching. Originally, I tee'd this command into this file, but there's no good way to get `foo | tee` to return the exit code of `foo`. However, using the default log (as noted below) should be good.",0,1
"This should be the credentials file on the docker container.
The run_cluster script will copy the files in the folder at -Dresource.file.dir.path to /shared/docker/credentials/
So if you have the credentials file at /bob/folderx/secret.json then -Dresource.file.dir.path should be set to /bob/folderx/ and GOOGLE_APPLICATION_CREDENTIALS should be set to /shared/docker/credentials/secret.json",I adjusted this to follow what the base `gcs` example had,0,0
Code format,fixed,0,0
We don't need both connections and identifiers. One is enough.,"There won't be any MAC for #35883, which is why I added identifiers back in.   What would be the better way to handle this?  Have two conditionals to add either/or?",1,1
Is it possible to have this in the `adjust` parameter description instead?,There are 2 cases there which require further details. So I think that is better addressed in the Notes.,1,1
Maybe `T extends Declarable`,"Unfortunately that also doesn't get to what you'd like. For this to work, the concrete method declaration would then need to be `public <V> V newInstance(ConfigTypeInstantiator<DeclarableType, Declarable> instantiator) {`. However that then requires the `Declarable` class to be visible to this module. The only way I see to get this to compile, is to replace `Declarable` with `?` which ends up again not restricting the returned type. ",1,1
I don't like the fact that there's a null check here cause it can hide issues.,Done! now use an assertion,0,1
"If we want to allow multiple `HttpServer2` objects to share the same `HttpServer2Metrics` instance, then it should be reference-counted, and unregistration should happen only when the last reference is removed.","Initially to fix the test, but , i think having `HttpServer2Metrics` `unRegister` when `HttpServer2` stops will fix the test, needn't make it a singleton",0,1
"We never throw TerseException, so this block can be removed.",remove it,0,0
We can omit this as we are already printing the containerID earlier.,done,0,0
"We can probably do this without autoboxing, but not something to worry about for this change.",fixed,0,1
"Might need to filter `instance_data` for things that are JSON serializable (or have the manager or `ansible-inventory` do it)- calling `ansible-inventory --list` bombs because of embedded datetimes, which won't JSON serialize.","This has been addressed, ansible-inventory now works as expected.",0,1
"I noticed you are calling getRedisSortedSet with updatesStats set to true. This seems reasonable. But I also noticed that a bunch of other methods on this class (zadd, zincrby, zrange, zrem) call it with false. Do you know when to set it to true vs false?","I see ZRANGE calling it with true. In general, operations that read data update stats, operations that change data do not. So zadd, zrem, zincrby change data and therefore don't update stats.",0,1
FFT: Guava preconditions might improve readability here.,Done,0,0
just add `required=True` to the `get_bin_path` calls,"So change it to `module.get_bin_path('sv', opt_dirs=self.extra_paths, required=True)`?",1,0
Should this be volatile?,yes.  made it volatile,1,1
"This way the version is always up to date. 

```suggestion
setup-pyflink-virtual-env.sh {{ site.version }}
```",Or I support a specified version example and a no version example,1,0
The KIP says that the ACL check is operation `ALTER` and resource `CLUSTER`. I think that perhaps the KIP should actually say `ALTER_CONFIGS` but the resource type should remain `CLUSTER`. OK?,Corrected it.,0,1
is there a case that the previous approach didn't cover?,"The reason why I reverted the previous implementation is that I want to make `MetricGroup#addGroup(String name)` always create `GenericMetricGroup`, even through the class type of `group` is `GenericKeyMericGroup`.",1,1
