project,pull,author,reviewer,CCR,Prediction,Merge
flink,4331,yestinchen,dawidwys,"Should we actually extend this `if` block to wrap the whole code in `reassignPartitions`? I.e., we shouldn't be doing the reassignment logic if `newPartitions.size() == 0` anyways.",1,True
flink,9742,jdm2212,tillrohrmann,I would pass in the class loader as a parameter because one might wanna use a user code class loader here.,1,False
metron,1330,merrimanr,ottobackwards,"Left a comment in the licenses file about this, but what's the new lib for?",1,True
zookeeper,828,nkalmar,eolivelli,${project.version} ?,1,False
ignite,5072,akuznetsov-gridgain,nva,Please rename to --server:disable:signup,0,True
nifi,1983,yjhyjhyjh0,ijokarumawak,"Same as DATE, this won't be true.",1,False
dubbo,13347,chickenlj,AlbumenJ,I think it would be better to allow register interface mode if users have not specified the application name. It works in interface mode.,1,True
shardingsphere,3333,sluk3r,terrymanu,"We prefer do not name xxxOptional, just name as xxx.
So `paginationValueSegmentOptional` should be `paginationValueSegment`",1,True
geode,5004,DonalEvans,jujoramos,This field can be made `final`.,0,False
nifi,7529,gresockj,ChrisSamo632,"`getDynamoDBOverride` is never used, can be deleted",0,True
geode,6524,pivotal-eshu,DonalEvans,This variable is redundant and can probably be removed.,1,False
iotdb,5510,SpriCoder,JackieTien97,You don' have to throw these checked execption here.,0,False
flink,6053,florianschmidt1994,tzulitai,"this shouldn't be here, subsumed by the java/scala quickstart calls",1,True
geode,7418,BalaKaza,dschneider-pivotal,the creation of RemoveElementsByIndex should be outside the sync block,1,False
ignite,9307,ivan-fedorenkov,ptupitsyn,Missing blank line before the comment.,1,True
camel,3993,malogan82,lburgazzoli,you may need to check if the `redisson` instance is `null`,1,False
calcite,898,rubenada,zabetak,Shouldn't the name of the test reflect the fact that it only tests stuctured types?,1,True
beam,2044,mingmxu,rangadi,revove.,0,False
druid,12481,liujianhuanzz,FrankChen021,It's better to rename these variables as XXX_COLLECTOR_NAME since the 'name' itself is too ambiguous.,1,True
pulsar,13564,leizhiyuan,Anonymitaet,"```suggestion
You need to put PulsarApi.proto to a separate path.

1. Open your Wireshark.

2. Go to **Edit > Preferences > Protocols > ProtoBuf > Protobuf**, and then search paths.

3. Add the path of PulsarApi.proto.
```

do you mean this?",1,True
inlong,5367,iamsee123,healchow,"Please add one blank after `,`, thanks.",0,True
incubator-heron,1852,huijunwu,srkukarni,shouldnt this be options_?,1,False
beam,10604,bipinupd,iemejia,check what is Null or not and fix to just add if so.,1,True
flink,11351,wsry,zhijiangW,"This change is irrelated? 
If so, I suggest not making this change. ",1,True
beam,13069,nehsyc,nehsyc,"I think this would fail the Dataflow V1 check as well.
I thought of possible improvement of the check [`bad0a52` (#13267)](https://github.com/apache/beam/pull/13267/commits/bad0a522ced25cc6ceef3ad14563ed2f6419788f) and this call would cause an issue.

",1,False
commons-lang,231,Tomschi,sebbASF,"If the parameters were changed to (Processor processor, String key ...) there would be no need to create the List and unpack it.",1,True
beam,15464,rvballada,lukecwik,"```suggestion
    /**
     * Sets the {@link AutoScaler} to use for reporting backlog during the execution of this source.
     */
    public Read<T> withAutoScaler(AutoScaler autoScaler) {
```",0,False
hive,3444,atsaonerk,subhasisgorai,The compact and elegant way to achieve this could be leveraging ExecutorService#awaitTermination https://docs.oracle.com/javase/8/docs/api/java/util/concurrent/ExecutorService.html#awaitTermination-long-java.util.concurrent.TimeUnit-,0,True
flink-training,46,tonny1983,victorunique,"```suggestion
可以通过以下的方法修改 `gradle.properties` 文件以重新启用所有 Scala 练习和解决方案：
```",0,True
nifi,4510,simonbence,tpalfy,"```suggestion
            .displayName(""Hazelcast Entry Lifetime"")
```",0,False
shardingsphere,10899,lwclover,tristaZero,Could you remove this redundant line?,1,True
geode,4682,sabbey37,kohlmu-pivotal,"Why not a `LinkedList` if every operation is a ""iterate"" over all entries. No benefit to using `ArrayList` if you don't use the indexing or ordering.",1,False
beam,11862,jaketf,lukecwik,"Please return a new version of this transform instead of mutating the existing version.

It is not uncommon for users to take one transform apply it to the graph once and then call withX on it and apply it elsewhere. We wouldn't want the second mutation to ever impact the first application of the transform and it is easy to guard against it using the @AutoValue builders.",0,True
flink,6218,twalthr,pnowojski,If you place one entry per line future reviews will be easier.,0,True
flink,8988,azagrebin,tillrohrmann,`canBeReleased.set(CompletableFuture.completedFuture(true))`,0,False
ignite,7434,gurustron,ptupitsyn,"Can you please extract the code below into two separate tests? Something like:

* `TestClusterEnableStatisticsAllowsEmptyCacheNames`
* `TestClusterEnableStatisticsThrowsOnInvalidCacheName`",1,False
phoenix,1342,alejandro-anadon,stoty,"This is a fairly minor test.
You should add it the existing NullIT test class (or some other appropriate one) instead of creating a new class for it.",1,True
incubator-hugegraph,114,zhoney,javeme,move this.id to next line,0,True
dolphinscheduler,6103,yc322,ruanwenjun,"```suggestion
```",0,False
kafka,5682,nizhikov,vvcephei,This method isn't specified in your KIP.,1,False
shardingsphere,22779,azexcy,sandynz,Looks the content of `assertConvertDataNodesToLinesWith` is the same as `assertConvertDataNodesToLines`,0,True
flink,17463,RocMarshal,MartijnVisser,"```suggestion
 * resources associated with the partition and propagate failure cause to the consumer if possible.
```",0,True
druid,14161,ektravel,techdocsmith,"```suggestion
If you want to use `kafka.timestamp` as Druid's primary timestamp (`__time`), specify it as the value for `column` in the `timestampSpec`:
```",0,False
beam,25793,ruslan-ikhsan,damondouglas,"Instead of putting terraform.tfvars in a separate directory, why not just have a common.tfvars in the terraform directory?  The reason why its better to have the .tfvars file in the same directory is that it enables IDE terraform plugin autocompletion.  Then all someone needs to do is this:

```
gcloud config set project <project>
terraform apply -var-file=common.tfvars -var=project_id=$(gcloud config get-value project)
```

In `common.tfvars` put:
```
region = ""us-central1""
service_account_id = ""tour-of-beam""
```

FYI, one can refer to multiple -var-file arguments, if you need to:
```
terraform apply -var-file=common.tfvars -var-file=bla/blab/environment_name/blablab.tfvars
```",1,False
flink,19823,fsk119,SteNicholas,"```suggestion
/** Config options of the {@link SqlGatewayService}. */
```",0,True
samza,662,sborya,shanthoosh,"1. Log message can be the following: (""Instantiating kafka consumer for system: {} with properties: {}"", systemName, kafkaConsumerConfig); 
2. Log-level is debatable here. If this is used for standalone, then the above line would spam the logs during each rebalancing phase. Might be safe to set it to debug.",0,True
shardingsphere,17871,azexcy,sandynz,"""scaling-"" could reference DataPipelineConstants ",1,True
geode,6489,ringles,sabbey37,We changed `RedisHash` so the `sizeInBytes` is initialized to the base overhead.  I think we could do the same here and remove it from the constructors.,0,False
parquet-mr,757,chenjunjiedada,gszadovszky,"Why is it required?
Also, do we want to shade `zero-allocation-hashing`?",1,True
incubator-kie-drools,1747,kurobako,etirelli,"this doesn't look correct. The type of ? is the same type as the inputEntry, not hard coded string.",1,False
hudi,513,nsivabalan,vinothchandar,nit: rename to `addFiles()` ?,1,True
druid,7292,shuqi7,vogievetsky,It looks like if a column is added in a future PR it will be default not shown. You should flip the entire script and only store the hidden columns and show columns unless they are hidden.,1,True
iceberg,7161,kengtin,stevenzwu,Iceberg coding style uses `Preconditions` for this type of check,0,False
flink,8933,twalthr,dawidwys,missing `MAP` typeRoot,1,True
flink,7866,carp84,StefanRRichter,The return value is never used.,1,True
camel,6292,ludovic-boutros,orpiske,I think it would be better to avoid the `Thread.sleep` call. My .2 cents is to try to use one of the Java concurrent facilities or awaitility if necessary.,1,True
iotdb,7978,wanghui42,THUMarkLau,Same as above.,0,True
hadoop,1146,shwetayakkali,swagle,"Seems we have changed to log2, the computation will be accurate but now what is the plan to show all files < 1 MB query? Seems more computation to be done in UI.

From the user point of view, 1KB, 2KB, and 4KB is all noise in UI. The 10s of bytes makes it more readable!",1,False
samza,823,rmatharu-zz,vjagadish1989,use the map.forEach() variant that takes in a BiConsumer function,0,False
beam,3356,reuvenlax,jkff,"There's a lot of comment formatting changes in this PR that are unrelated to its contents. Maybe hard to revert already, but they pollute the diff/blame.",0,True
hudi,1770,hddong,yanghua,It would be better to add the access modifier.,1,True
hudi,5222,codope,nsivabalan,"can we add a fail fast if condition before switch case. easy to reason about things. 
if not data table || is metadata is not enabled
   return 

if not, proceed for to line 856. ",0,True
iotdb,8359,lancelly,JackieTien97,"we may need to change set to map, key is original string, value is formatted string.",1,False
flink,10763,wuchong,dawidwys,"If we are using a real world example, could we make it more useful? 

How about:
```
Orders
  |- orderId: String
  |- productId: String
  |- amount: Long
  |- timestamp: Timestamp

Rates
  |- currency: String
  |- rate: Double
  |- timestamp: Timestamp

Prices
  |- productId: String
  |- currency: String
  |- price: Double
  |- timestamp: Timestamp

Query:
SELECT
  o.orderId,
  (o.amount * p.price * r.rate) as total_price
FROM
  Orders AS o,
  LATERAL TABLE (Rates(o.rowtime)) AS r,
  LATERAL TABLE (Prices(o.rowtime)) AS p
WHERE
  o.productId = p.productId AND 
  r.currency = p.currency
```",1,True
hadoop,6058,AuthurWang2009,steveloughran,"can you give this a name like ""setupClass"" as setup() is generally used for per-test-case setup
",1,True
flink,13055,XComp,tisonkun,"@tillrohrmann what if a suspend happens while the leader info node content actually not changed?

It causes the task manager cannot find the job manager anymore. Because we actually filter same leader info inside `DefaultLeaderRetrievalService`",1,False
pinot,3264,jackjlli,Jackie-Jiang,"You can remove the javadoc for override method, same for other tasks",0,False
inlong,8304,vernedeng,healchow,Can merge in one line.,0,True
gobblin,2702,arjun4084346,jack-moseley,Typo `getJobExcecutionStatus` -> `getJobExecutionStatus`,0,False
druid,11988,Vespira,techdocsmith,"```suggestion
The parameters in the `tuningConfig` control the maximum number of rows present in each of the compacted segments and other tuning configurations.
```
@kfaraz , @Vespira what about this clarification?",1,True
